tagid,wave,session_date
TAG167,sos_arm_1,7/12/19
TAG167,wave_3_scheduling_arm_1,1/24/20
TAG169,wave_1_scheduling_arm_1,11/20/16
TAG169,wave_2_scheduling_arm_1,5/22/18
TAG169,wave_3_scheduling_arm_1,10/20/19
TAG170,wave_1_scheduling_arm_1,8/12/17
TAG172,wave_1_scheduling_arm_1,9/7/17
TAG173,wave_1_scheduling_arm_1,4/17/17
TAG173,wave_2_scheduling_arm_1,9/25/18
TAG173,wave_3_scheduling_arm_1,12/14/20
TAG174,wave_1_scheduling_arm_1,6/25/16
TAG174,wave_2_scheduling_arm_1,6/19/18
TAG175,wave_1_scheduling_arm_1,8/8/17
TAG175,wave_2_scheduling_arm_1,6/27/19
TAG176,wave_1_scheduling_arm_1,5/13/17
TAG176,wave_2_scheduling_arm_1,10/20/18
TAG176,sos_arm_1,7/22/19
TAG176,wave_3_scheduling_arm_1,3/7/21
TAG177,wave_1_scheduling_arm_1,10/4/16
TAG177,wave_2_scheduling_arm_1,5/16/18
TAG177,sos_arm_1,3/15/20
TAG177,wave_3_scheduling_arm_1,10/18/19
TAG179,wave_1_scheduling_arm_1,7/6/17
TAG179,wave_2_scheduling_arm_1,1/4/19
TAG179,sos_arm_1,8/27/19
TAG179,wave_3_scheduling_arm_1,4/30/21
TAG180,wave_1_scheduling_arm_1,6/24/17
TAG180,wave_2_scheduling_arm_1,11/12/18
TAG180,sos_arm_1,7/11/19
TAG180,wave_3_scheduling_arm_1,2/20/21
TAG181,wave_1_scheduling_arm_1,7/29/16
TAG181,wave_2_scheduling_arm_1,3/14/18
TAG181,wave_3_scheduling_arm_1,9/13/19
TAG184,wave_1_scheduling_arm_1,6/30/17
TAG186,wave_1_scheduling_arm_1,4/20/17
TAG186,wave_2_scheduling_arm_1,10/23/18
TAG186,sos_arm_1,6/23/19
TAG186,wave_3_scheduling_arm_1,12/17/20
TAG188,wave_1_scheduling_arm_1,8/11/17
TAG188,wave_2_scheduling_arm_1,3/6/19
TAG188,sos_arm_1,7/31/19
