TAGID,wave,session_date
TAG_117,wave_1_scheduling_arm_1,2016-12-12
TAG_117,wave_2_scheduling_arm_1,2018-06-19
TAG_117,wave_3_scheduling_arm_1,2019-12-04
TAG_119,wave_1_scheduling_arm_1,2016-07-05
TAG_119,wave_2_scheduling_arm_1,2018-03-23
TAG_119,wave_3_scheduling_arm_1,2019-09-24
TAG_120,wave_1_scheduling_arm_1,2017-09-05
TAG_120,wave_2_scheduling_arm_1,2019-04-09
TAG_120,sos_arm_1,2019-08-08
TAG_120,wave_3_scheduling_arm_1,2020-12-23
TAG_122,wave_1_scheduling_arm_1,2017-09-29
TAG_122,wave_2_scheduling_arm_1,2019-04-02
TAG_122,sos_arm_1,2019-10-05
TAG_122,wave_3_scheduling_arm_1,2020-12-06
TAG_124,wave_1_scheduling_arm_1,2017-11-16
TAG_124,wave_2_scheduling_arm_1,2019-04-23
TAG_124,sos_arm_1,2019-12-08
TAG_125,wave_1_scheduling_arm_1,2017-10-31
TAG_125,wave_2_scheduling_arm_1,2019-05-06
TAG_127,wave_1_scheduling_arm_1,2017-11-09
TAG_127,wave_2_scheduling_arm_1,2019-05-30
TAG_130,wave_1_scheduling_arm_1,2016-09-14
TAG_130,wave_2_scheduling_arm_1,2018-04-02
TAG_130,wave_3_scheduling_arm_1,2019-11-04
TAG_131,wave_1_scheduling_arm_1,2017-02-22
TAG_131,wave_2_scheduling_arm_1,2018-08-13
TAG_131,sos_arm_1,2019-04-20
TAG_131,wave_3_scheduling_arm_1,2020-02-21
TAG_132,wave_1_scheduling_arm_1,2017-01-15
TAG_132,wave_2_scheduling_arm_1,2018-08-24
TAG_132,sos_arm_1,2019-03-23
TAG_132,wave_3_scheduling_arm_1,2020-02-07
TAG_137,wave_1_scheduling_arm_1,2016-10-23
TAG_138,wave_1_scheduling_arm_1,2016-10-15
TAG_138,wave_2_scheduling_arm_1,2018-05-02
TAG_138,sos_arm_1,2019-03-02
TAG_138,wave_3_scheduling_arm_1,2019-10-14
TAG_140,wave_1_scheduling_arm_1,2016-10-28
TAG_140,wave_2_scheduling_arm_1,2018-05-11
TAG_140,sos_arm_1,2019-03-10
TAG_140,wave_3_scheduling_arm_1,2019-10-11
TAG_141,wave_1_scheduling_arm_1,2016-10-23
TAG_141,wave_2_scheduling_arm_1,2018-06-04
TAG_141,sos_arm_1,2019-04-14
TAG_141,wave_3_scheduling_arm_1,2020-02-05
TAG_143,wave_1_scheduling_arm_1,2016-06-08
TAG_143,wave_2_scheduling_arm_1,2018-03-20
TAG_143,wave_3_scheduling_arm_1,2020-03-11
TAG_144,wave_1_scheduling_arm_1,2016-10-19
TAG_144,wave_2_scheduling_arm_1,2018-04-25
TAG_144,wave_3_scheduling_arm_1,2020-01-06
TAG_144,wave_4_scheduling_arm_1,2021-01-23
TAG_145,wave_1_scheduling_arm_1,2017-02-15
TAG_147,wave_1_scheduling_arm_1,2018-01-29
TAG_147,wave_2_scheduling_arm_1,2019-09-04
TAG_147,wave_3_scheduling_arm_1,2020-12-03
TAG_149,wave_1_scheduling_arm_1,2016-06-17
TAG_149,wave_2_scheduling_arm_1,2017-12-04
TAG_149,wave_3_scheduling_arm_1,2019-07-26
TAG_152,wave_1_scheduling_arm_1,2017-02-20
TAG_152,wave_2_scheduling_arm_1,2018-09-14
TAG_152,wave_3_scheduling_arm_1,2020-12-21
TAG_155,wave_1_scheduling_arm_1,2017-10-24
TAG_155,wave_2_scheduling_arm_1,2019-08-13
TAG_158,wave_1_scheduling_arm_1,2017-02-15
TAG_159,wave_1_scheduling_arm_1,2016-06-13
TAG_159,wave_2_scheduling_arm_1,2018-02-01
TAG_159,wave_3_scheduling_arm_1,2019-08-09
